sampleid,isoursodeoxycholic acid,murideoxycholic acid
AML_010_42,0.000216306,0.000487005
AML_013_31,0.000120051,0.000308447
AML_013_34,0.000137263,0.00030423
AML_013_36,0.000187488,0.000516355
AML_013_39,0.000183839,0.000640612
AML_013_42,0.002802788,0.000477058
AML_013_44,0.00384734,0.000486867
AML_013_47,0.002966111,0.000595331
AML_013_49,0.000319209,0.0006633
AML_013_54,0.00057585,0.000367719
AML_013_55,0.000283624,0.000386809
AML_013_56,0.000313458,0.000438961
AML_013_59,0.000392393,0.000206683
AML_014_28,0.000155296,0.000190816
AML_014_34,0.000521921,0.000992683
AML_004_70,0.021189873,4.65E-05
AML_010_46,0.000213321,0.00029436
AML_011_39,0.03505893,9.99E-05
AML_011_50,0.164421319,0.000105258
AML_012_45,0.02713495,0.000226959
AML_012_49,0.029777628,0.00020602
AML_013_65,0.070669246,0.000131066
AML_013_69,0.029993076,0.000209663
AML_013_71,0.044010209,0.000173339
AML_013_75,0.01295113,0.000170511
AML_013_77,0.010914693,0.000153935
AML_013_80,0.005422467,7.07E-05
AML_013_85,0.000718811,4.92E-05
